name                             component                               version
aa9a07a125a7c8547be96678bf7e9281 opensearch-ltr                          x.x.x.x-SNAPSHOT
aa9a07a125a7c8547be96678bf7e9281 opensearch-ml                           x.x.x.x
aa9a07a125a7c8547be96678bf7e9281 opensearch-neural-search                x.x.x.x
aa9a07a125a7c8547be96678bf7e9281 opensearch-notifications                x.x.x.x
aa9a07a125a7c8547be96678bf7e9281 opensearch-notifications-core           x.x.x.x
aa9a07a125a7c8547be96678bf7e9281 opensearch-observability                x.x.x.x
aa9a07a125a7c8547be96678bf7e9281 opensearch-reports-scheduler            x.x.x.x
aa9a07a125a7c8547be96678bf7e9281 opensearch-search-relevance             x.x.x.x
aa9a07a125a7c8547be96678bf7e9281 opensearch-security                     x.x.x.x
aa9a07a125a7c8547be96678bf7e9281 opensearch-security-analytics           x.x.x.x
aa9a07a125a7c8547be96678bf7e9281 opensearch-skills                       x.x.x.x
aa9a07a125a7c8547be96678bf7e9281 opensearch-sql                          x.x.x.x
aa9a07a125a7c8547be96678bf7e9281 opensearch-system-templates             x.x.x.x
aa9a07a125a7c8547be96678bf7e9281 performance-analyzer                    x.x.x.x
aa9a07a125a7c8547be96678bf7e9281 query-insights                          x.x.x.x
aa9a07a125a7c8547be96678bf7e9281 repository-s3                           3.3.0
aa9a07a125a7c8547be96678bf7e9281 sifi-remediation-plugin                 x.x.x.x
aa9a07a125a7c8547be96678bf7e9281 telemetry-otel                          3.3.0
aa9a07a125a7c8547be96678bf7e9281 workload-management                     3.3.0
e36f6e124c8295a8b66567c233d55db6 analysis-icu                            3.3.0
e36f6e124c8295a8b66567c233d55db6 analysis-ik                             3.3.0
e36f6e124c8295a8b66567c233d55db6 analysis-kuromoji                       3.3.0
e36f6e124c8295a8b66567c233d55db6 analysis-phonetic                       3.3.0
e36f6e124c8295a8b66567c233d55db6 analysis-seunjeon                       3.3.0
e36f6e124c8295a8b66567c233d55db6 analysis-smartcn                        3.3.0
e36f6e124c8295a8b66567c233d55db6 analysis-stempel                        3.3.0
e36f6e124c8295a8b66567c233d55db6 analysis-thaichub2                      3.3.0
e36f6e124c8295a8b66567c233d55db6 analysis-ukrainian                      3.3.0
e36f6e124c8295a8b66567c233d55db6 arrow-flight-rpc                        3.3.0
e36f6e124c8295a8b66567c233d55db6 aws-opensearch-admission-control-plugin 3.3.0
e36f6e124c8295a8b66567c233d55db6 aws-opensearch-coral-network-plugin     3.3.0
